autID,nume,prenume
1208,Tyndall,John
1209,Bouilly,Jean Nicolas
1210,Doe,D. D. Cottrell's Subscription Agency
1211,Litchfield,Frederick
1212,Reisner,George Andrew
1213,Payne,Dutton
1214,Kyne,Peter B. (Peter Bernard)
1215,Frazer,James George
1216,England,George Allan
1217,Wasserzieher,Ernst
1218,Bebel,August
1219,Bell,J. J. (John Joy)
1220,Darwin,Charles
1221,Atherton,Gertrude Franklin Horn
1222,Van Middeldyk,R. A. (Rudolph Adams)
1223,Alvarez Guerra,Juan
1224,Adams,Andy
1225,Newton,Richard Heber
1226,Björkman,Edwin
1227,Richardson,David Lester
1228,Wade,G. W. (George Woosung)
1229,Wade,J. H. (Joseph Henry)
1230,Taylor,John M. (John Metcalf)
1231,Hennequin,Emile
1232,Lanier,Sidney
1233,Gladden,Washington
1234,Hazlitt,William Carew
1235,Andrews,Roy Chapman
1236,Andrews,Yvette Borup
1237,Record,Samuel J. (Samuel James)
1238,Ford,Paul Leicester
1239,Towianski,Andrzej
1240,Hay,Ian
1241,Ingelow,Jean
1242,Broughton,Rhoda
1243,Cook,Herbert Frederick
1,Jefferson,Thomas
2,Shakespeare,William
3,Doe,Anonymous
4,Seneca,Lucius Annaeus
5,Hodgson,William Hope
6,Waddington,Mary King
7,Lindsay,Anna Robertson Brown
8,Tucker,George
9,Boccaccio,Giovanni
10,Le Fanu,Joseph Sheridan
11,Adams,Samuel Hopkins
12,White,Stewart Edward
13,Hammond,S. H. (Samuel H.)
14,Doe,Dante Alighieri
15,Hayley,William
16,Doe,Unknown
17,Muir,John
18,Doe,Various
19,Leverson,Ada
20,Bueltmann,A. J.
21,Brooks,Charles S. (Charles Stephen)
22,Cross,F. J. (Frederick J.)
23,Hurst,Fannie
24,Avery,Harold
25,William,Sir
26,Doe,Buffalo Bill
27,Poe,Edgar Allan
28,Black,Edith Ferguson
29,Robins,Elizabeth
30,Behn,Aphra
31,Lee,Charles A.
32,Cabell,James Branch
33,Murray,E. R. (Elsie Riach)
34,Smith,Henrietta Brown
35,Ladue,Joseph
36,Wood,William Charles Henry
37,Hancock,H. Irving (Harrie Irving)
38,Buchan,John
39,Wheeler,Janet D.
40,Oliphant,Mrs. (Margaret)
41,Féval,Paul
42,Jöns Jakob,friherre
43,Lessing,Gotthold Ephraim
44,Doe,Mencius
45,Doe,Confucius
46,Doe,Faxian
47,Hope,Anthony
48,Quigley,Edward J.
49,Baum,L. Frank (Lyman Frank)
50,Huxley,Thomas Henry
51,Verhaeren,Emile
52,Keenan,Henry F. (Henry Francis)
53,Towne,Elizabeth
54,Farnol,Jeffery
55,Beck,James M. (James Montgomery)
56,Brand,Max
57,Stevenson,Burton Egbert
58,Cooke,Grace MacGowan
59,Planta,Joseph
60,Eggleston,Edward
61,Edwardes,S. M. (Stephen Meredyth)
62,Moxon,Elizabeth
63,Bachelor,Joseph M. (Joseph Morris)
64,Greever,Garland
65,Smith,Venture
66,Bindloss,Harold
67,Johnson,Douglas Wilson
68,Blatch,Harriot Stanton
69,Hayes,Clair W. (Clair Wallace)
70,Watson,John R. (John Reay)
71,Rees,Arthur J. (Arthur John)
72,Green,Anna Katharine
73,Curwood,James Oliver
74,Otis,James
75,Forsslund,Louise
76,Doe,Oxonian
77,Mackenzie,Donald A. (Donald Alexander)
78,Nitti,Francesco Saverio
79,MacDonald,George
80,Garnett,Richard
81,Doe,Euripides
82,Carpenter,Edward
83,Massey,W. T. (William Thomas)
84,Humphry,Mrs.
85,Sterling,Bruce
86,Nichol,John
87,Hudson,W. H. (William Henry)
88,Le Queux,William
89,Hugh Dalton,Baron
90,Marquand,John P. (John Phillips)
91,Tracy,Louis
92,Sweetser,Kate Dickinson
93,Fiske,John
94,D'Oliveira,E. (Elias)
95,Earle,Alice Morse
96,Kingsley,Charles
97,Rydberg,Viktor
98,Dyer,T. F. Thiselton (Thomas Firminger Thiselton)
99,Shelley,Percy Bysshe
100,Hutton,Edward
101,Graves,Robert
102,Lamb,Charles
103,Waugh,Edwin
104,Evans,Robert J.
105,Dulabone,Chris
106,Wells,H. G. (Herbert George)
107,Lamb,Mary
108,Merriman,Henry Seton
109,Quiller-Couch,Arthur
110,Brummitt,Dan B. (Dan Brearley)
111,Beeton,Mrs. (Isabella Mary)
112,Edison,Thomas A. (Thomas Alva)
113,Tyrrell,George
114,Bower,B. M.
115,Clark,Donald Lemen
116,Bryant,William Cullen
117,Spyri,Johanna
118,Toynbee,Arnold
119,Moore,Frank
120,Russell,Thomas Herbert
121,Pyle,Howard
122,Cooper,James Fenimore
123,Parkman,Francis
124,Stoker,Bram
125,Lett,Bob
126,Lenord,Frank
127,Schultz,Siegfried Von
128,Roosevelt,Theodore
129,Girard,Gilbert
130,Walter Alexander,Sir
131,Spinoza,Benedictus de
132,France,Anatole
133,Doe,Cassius Dio Cocceianus
134,Hurgronje,C. Snouck (Christiaan Snouck)
135,McClung,Nellie L.
136,Greg,Percy
137,Smith,Thomas F. A.
138,Doe,Edison Concert Band
139,Wilde,Oscar
140,Doe,American Concert Orchestra
141,Doe,New York Trio
142,Doe,Edison Minstrels
143,Kennedy,Frank
144,Spencer,Len
145,Doe,Edison Vaudeville Company
146,Brontë,Emily
147,Brontë,Anne
148,Brontë,Charlotte
149,Hill,Murry K.
150,Stewart,Cal
151,Woottwell,Tom
152,Doe,Blue Ridge Duo
153,Doe,Fiddlin' Powers & Family
154,Twain,Mark
155,Lowell,Amy
156,Grey,Zane
157,Mitchell,Maria
158,Landfrey,Kenneth
159,Hobart,Garret A. (Garret Augustus)
160,Bryan,William Jennings
161,Taft,William H. (William Howard)
162,Lindsay,Vachel
163,Parrish,Randall
164,Leslie,Lawrence J.
165,Peck,George W. (George Wilbur)
166,Gregory,Jackson
167,Taylor,Thomas
168,Rovani,Giuseppe
169,Holley,Marietta
170,Austin,Mary Hunter
171,Brandt,G. N. (Gudmund Nyeland)
172,Wordsworth,William
173,Thoreau,Henry David
174,Garis,Howard Roger
175,Webb-Peploe,Mrs. (Annie)
176,Nixon-Roulet,Mary F.
177,Saunders,Marshall
178,Díaz,Porfirio
179,Ernest Henry,Sir
180,Dickens,Charles
181,Daniels,Josephus
182,Daniels,Addie Worth Bagley
183,Miles,Nelson Appleton
184,Hutchinson,Miller Reese
185,Cable,George Washington
186,Edison,Theodore M.
187,Doe,Losey's Orchestra
188,Osbourne,Lloyd
189,Stevenson,Robert Louis
190,Doe,Lopez and Hamilton's Kings of Harmony
191,Doe,Harry Raderman's Jazz Orchestra
192,Benjamin,Graf von
193,Carnegie,Andrew
194,Watson,Thomas Augustus
195,Doe,Nebe-Quartett
196,Doe,I. J. Hochman's Yiddisher Orchester
197,Doe,Jugoslavensko Tamburasko Drustvo
198,Lusk,Milan
199,Grossmith,George
200,Grossmith,Weedon
201,Berman,Louis
202,Allen,Quincy
203,Wells,Carolyn
204,Doe,"Colored Quartet" (name unknown)
205,Doe,Hann's Emperors of Song
206,Barrow,Isaac
207,Stowe,Harriet Beecher
208,Dunbar,Paul Laurence
209,Doe,Peerless Orchestra (Edison studio ensemble)
210,Hervilly,Ernest d'
211,London,Jack
212,Duhamel,Georges
213,Doe,Jubilee Singers
214,Verne,Jules
215,Tucker,Sophie
216,Sullivan,Arthur
217,Campanella,Tommaso
218,Doe,Michelangelo Buonarroti
219,Hāfiz,14th cent.
220,Doe,Firdawsi
221,Doe,Omar Khayyam
222,Fitzhugh,Percy Keese
223,Emerson,Alice B.
224,Godwin,William
225,James,Henry
226,May,Sophie
227,Rideout,Henry Milner
228,Nathaniel,Mrs.
229,Stratemeyer,Edward
230,Vance,Louis Joseph
231,Cassels,Walter Richard
232,Smith,Laura Rountree
233,Wiggin,Kate Douglas Smith
234,Zola,Émile
235,Dickinson,G. Lowes (Goldsworthy Lowes)
236,Metz-Koning,Maria Catherina
237,Garnett,David
238,Aaronsohn,Alexander
239,Owen,Wilfred
240,Stoddard,William Osborn
241,Erickson,Joel A.
242,Trollope,Frances Milton
243,Buysse,Cyriël
244,Alvares,Rahul
245,McGuinn,Roger
246,Robinson,Edwin Arlington
247,Johnson,Samuel
248,Goethe,Johann Wolfgang von
249,Richardson,James
250,Boswell,James
251,Wilson,Harry Leon
252,Lawson,Henry
253,Alcott,Louisa May
254,Troward,T. (Thomas)
255,Dolbey,Robert Valentine
256,Gandhi,Mahatma
257,John,Sir
258,Stockton,Frank Richard
259,Yeardley,John
260,Venables,Edmund
261,Musick,John R. (John Roy)
262,Oppenheim,E. Phillips (Edward Phillips)
263,Vachell,Horace Annesley
264,Fletcher,J. S. (Joseph Smith)
265,Bowman,Earl Wayland
266,Doe,Zitkala-Sa
267,Mill,John Stuart
268,Garvice,Charles
269,Wells,Philip P. (Philip Patterson)
270,Hugo,Victor
271,Howard,J. E.
272,Bull,Thomas
273,Conscience,Hendrik
274,Thiers,Adolphe
275,Clarkson,Thomas
276,Long,William J. (William Joseph)
277,Livingstone,David
278,Waterloo,Stanley
279,Henry Hawkins,Baron
280,Guest,Edgar A. (Edgar Albert)
281,Van Dyke,Henry
282,Harkness,Peter T.
283,McCracken,Elizabeth
284,Collins,J. E. (Joseph Edmund)
285,Roosevelt,Franklin D. (Franklin Delano)
286,Wolff,Elizabeth Bekker
287,Deken,Agatha
288,Drayton,Daniel
289,Isham,Frederic Stewart
290,Bilbrough,E. Ernest
291,Raine,William MacLeod
292,Doe,Broadway Dance Orchestra
293,John Rushworth Jellicoe,Earl
294,Williamson,C. N. (Charles Norris)
295,Williamson,A. M. (Alice Muriel)
296,Doe,National Promenade Band
297,Hubbard,Elbert
298,Meredith,George
299,Lewes,George Henry
300,Galt,John
301,Mundy,Talbot
302,Gale,Zona
303,McCabe,Joseph
304,Lucian,of Samosata
305,Hughes,Louis
306,Perry,Nora
307,Eddy,Mary Baker
308,Mackay,Isabel Ecclestone
309,Herrman,Karl Stephen
310,Train,Arthur Cheney
311,Chambers,Robert W. (Robert William)
312,Gautier,Théophile
313,Lansing,Robert
314,Doyle,Arthur Conan
315,Le Gallienne,Richard
316,Greene,Homer
317,Henry,Mrs.
318,Blaisdell,Albert F. (Albert Franklin)
