opID,autID
666,224
667,392
668,393
669,394
670,366
671,395
672,56
673,396
674,397
675,248
676,391
677,2
679,398
680,276
681,93
682,399
683,275
684,400
685,401
686,18
687,402
688,402
689,354
690,16
691,403
692,27
693,404
693,405
694,406
695,392
696,407
697,408
698,409
698,410
699,18
700,333
701,411
702,412
703,27
704,413
705,414
706,415
707,275
708,416
709,417
710,418
710,419
711,420
712,421
714,27
715,333
716,333
717,422
719,333
720,245
721,245
722,333
723,333
724,333
725,27
726,245
727,245
728,245
729,245
730,245
731,423
733,424
734,425
735,408
736,426
737,427
738,428
739,5
740,18
741,429
742,430
743,18
744,431
745,432
745,433
745,434
745,435
746,96
747,436
748,437
749,438
750,439
750,440
751,441
752,442
753,443
754,444
755,445
756,274
757,281
758,436
759,446
760,447
761,448
762,449
763,450
764,451
765,452
766,453
767,454
768,455
769,234
770,456
771,457
772,374
773,458
774,459
775,18
776,73
777,460
778,377
780,461
782,462
782,463
783,464
784,464
785,464
786,464
787,464
788,464
789,465
790,466
791,467
793,468
794,18
795,469
796,470
797,471
798,471
799,472
800,473
801,88
802,18
804,234
805,18
806,474
807,207
808,475
809,476
810,477
811,478
812,479
813,475
815,18
816,471
817,471
818,480
820,481
821,211
822,482
823,483
824,471
825,211
826,484
827,471
828,485
829,486
830,487
831,121
832,488
833,489
835,16
836,211
837,490
838,491
839,492
840,493
841,16
842,494
843,356
844,245
845,245
846,245
847,495
848,496
849,189
850,497
852,498
853,499
854,3
855,500
856,501
857,502
858,495
859,503
859,504
859,505
859,506
860,507
861,508
862,509
863,510
864,488
865,511
866,512
867,513
867,514
868,16
869,515
870,516
871,375
872,375
873,375
874,375
875,375
876,375
877,375
878,375
879,375
880,517
881,375
882,375
883,375
884,375
885,518
886,519
887,520
888,521
888,522
889,523
890,324
891,314
892,524
893,525
894,526
896,395
897,527
898,528
899,529
900,371
901,530
902,531
903,532
904,533
905,534
906,315
907,535
908,536
910,537
911,538
912,539
913,540
914,541
915,542
916,543
917,544
918,545
919,546
920,547
921,315
922,548
923,549
924,452
925,362
926,550
927,551
928,5
929,471
930,16
931,247
932,552
933,553
934,18
935,554
936,555
937,556
938,501
939,557
940,558
941,559
941,560
941,561
942,18
943,562
944,405
944,404
945,563
946,479
947,351
948,405
948,404
949,107
949,102
950,564
951,565
952,18
953,566
954,567
955,568
957,569
958,154
959,570
960,571
961,572
962,336
963,573
964,574
965,575
966,18
967,576
968,577
969,578
970,579
971,375
972,375
973,375
974,375
975,375
976,375
977,580
978,581
980,582
981,512
982,583
983,32
984,133
985,584
986,417
987,56
989,3
990,585
991,211
992,133
993,586
994,587
998,18
999,408
1000,588
1001,589
1002,590
1003,524
1005,591
1006,592
1007,18
1008,593
1009,594
1010,595
1011,549
1012,596
1013,597
1014,351
1015,315
1016,425
1017,3
1018,315
1019,598
1020,599
1021,600
1022,601
1023,602
1025,603
1026,96
1028,315
1029,18
1030,604
1032,356
1033,605
1034,606
1035,607
1036,225
1037,66
1038,520
1039,608
1040,18
1041,18
1042,609
1043,610
1045,122
1046,611
1047,612
1048,451
1049,14
1050,12
1051,613
1052,11
1053,614
1054,615
1056,258
1057,315
1058,156
1059,18
1061,18
1062,274
1063,610
1064,616
1065,617
1066,618
1067,619
1068,620
1069,211
1070,621
1071,622
1072,623
1073,624
1074,18
1075,3
1076,5
1077,625
1078,626
1079,627
1080,345
1081,628
1082,629
1083,630
1084,258
1085,631
1086,632
1087,16
1088,73
1089,633
1090,3
1091,634
1093,3
1094,320
1095,3
1096,635
1097,636
1098,637
1099,3
1100,638
1101,3
1102,12
1104,639
1105,640
1108,96
1109,16
1110,641
1111,642
1112,643
1113,644
1114,461
1115,2
1116,645
1116,646
1117,647
1118,647
1119,648
1120,648
1121,648
1122,648
1124,649
1125,650
1126,2
1127,384
1127,651
1128,652
1129,653
1130,116
1131,654
1132,655
1133,295
1133,294
1134,656
1135,656
1136,657
1137,2
1138,658
1140,659
1141,16
1142,429
1143,96
1144,96
1145,660
1145,661
1146,662
1146,663
1146,664
1146,665
1146,666
1147,667
1148,2
1149,668
1150,669
1152,670
1154,671
1155,672
1156,673
1156,674
1157,675
1158,676
1159,2
1160,677
1161,678
1162,679
1163,680
1164,681
1165,682
1166,683
1167,684
1168,685
1169,686
1170,2
1171,361
1172,211
1173,687
1174,659
1175,688
1176,689
1177,659
1178,637
1179,690
1180,691
1181,2
1182,132
1183,18
1184,618
1185,47
1186,96
1187,3
1188,692
1189,693
1190,694
1191,695
1192,2
1193,696
1194,697
1195,14
1196,16
1197,408
1198,698
1199,18
1200,699
1201,700
1202,701
1203,2
1204,702
1205,703
1206,704
1207,3
1208,705
1209,706
1210,707
1211,18
1212,708
1213,626
1214,2
1215,709
1216,710
1217,3
1218,56
1219,18
1220,711
1221,712
1222,713
1223,16
1224,714
